#000000,Black,000000,black
#000033,Stratos,000033,stratos
#000066,Navy Blue,000066,navy-blue
#000099,Royal Blue,000099,royal-blue
#0000cc,Dark Blue,0000cc,dark-blue
#0000ff,Blue,0000ff,blue
#003300,Deep Fir,003300,deep-fir
#003333,Deep Teal,003333,deep-teal
#003366,Midnight Blue,003366,midnight-blue
#003399,Smalt,003399,smalt
#0033cc,International Klein Blue,0033cc,international-klein-blue
#0033ff,First Place,0033ff,first-place
#006600,Camarone,006600,camarone
#006633,Fun Green,006633,fun-green
#006666,Blue Stone,006666,blue-stone
#006699,Bahama Blue,006699,bahama-blue
#0066cc,Science Blue,0066cc,science-blue
#0066ff,Blue Ribbon,0066ff,blue-ribbon
#009900,Japanese Laurel,009900,japanese-laurel
#009933,Pale Fun Green,009933,pale-fun-green
#009966,Green Haze,009966,green-haze
#009999,Persian Green,009999,persian-green
#0099cc,Pacific Blue,0099cc,pacific-blue
#0099ff,Azure Radiance,0099ff,azure-radiance
#00cc00,Green,00cc00,green
#00cc33,Malachite,00cc33,malachite
#00cc66,Jade,00cc66,jade
#00cc99,Caribbean Green,00cc99,caribbean-green
#00cccc,Robins Egg Blue,00cccc,robins-egg-blue
#00ccff,Aqua,00ccff,aqua
#00ff00,True Green,00ff00,true-green
#00ff33,Greener,00ff33,greener
#00ff66,Easter Green,00ff66,easter-green
#00ff99,Spring Blue,00ff99,spring-blue
#00ffcc,Bright Turquoise,00ffcc,bright-turquoise
#00ffff,Cyan,00ffff,cyan
#330000,Temptress,330000,temptress
#330033,Barossa,330033,barossa
#330066,Christalle,330066,christalle
#330099,Pigment Indigo,330099,piment-indigo
#3300cc,Dark Violet,3300cc,dark-violet
#3300ff,Violet,3300ff,violet
#333300,Madras,333300,madras
#333333,Mine Shaft,333333,mine-shaft
#333366,Rhino,333366,rhino
#333399,Sapphire,333399,sapphire
#3333cc,Governor Bay,3333cc,governor-bay
#3333ff,Gentle Blue,3333ff,gentle-blue
#336600,Verdun Green,336600,verdun-green
#336633,Killarney,336633,killarney
#336666,Casal,336666,casal
#336699,Gray Azure,336699,gray-azure
#3366cc,Mariner,3366cc,mariner
#3366ff,Dodger Blue,3366ff,dodger-blue
#339900,Limeade,339900,limeade
#339933,Apple,339933,apple
#339966,Sea Green,339966,sea-green
#339999,Lochinvar,339999,lochinvar
#3399cc,Curious Blue,3399cc,curious-blue
#3399ff,Bright Dodger Blue,3399ff,bright-dodger-blue
#33cc00,Harlequin,33cc00,harlequin
#33cc33,Bright Apple,33cc33,bright-apple
#33cc66,Emerald,33cc66,emerald
#33cc99,Shamrock,33cc99,shamrock
#33cccc,Brilliant Turquoise,33cccc,brilliant-turquoise
#33ccff,Brightest Dodger Blue,33ccff,brightest-dodger-blue
#33ff00,Lime,33ff00,lime
#33ff33,Pale Harlequin,33ff33,pale-harlequin
#33ff66,Screaming Green,33ff66,screaming-green
#33ff99,Spring Green,33ff99,spring-green
#33ffcc,Sky Blue,33ffcc,sky-blue
#33ffff,Bright Aqua,33ffff,bright-aqua
#660000,Lonestar,660000,lonestar
#660033,Tyrian Purple,660033,tyrian-purple
#660066,Pompadour,660066,pompadour
#660099,Purple,660099,purple
#6600cc,Bright Purple,6600cc,bright-purple
